season,week,id,name,pos,team,points,opponent
2009,1,00-0022924,B.Roethlisberger,QB,PIT,18.82,TEN
2009,1,00-0026901,M.Wallace,WR,MIN,3.2,CLE
2009,1,00-0023465,H.Miller,TE,PIT,6.4,TEN
2009,1,00-0026164,C.Johnson,RB,ARI,6.8,SF
2009,1,00-0027006,K.Britt,WR,STL,8.5,SEA
2009,1,00-0023367,N.Washington,WR,HOU,0.8,NYJ
2009,1,00-0026143,M.Ryan,QB,ATL,16.76,MIA
2009,1,00-0023462,R.White,WR,ATL,4.2,MIA
2009,1,00-0024535,E.Weems,WR,ATL,0.0,MIA
2009,1,00-0025396,T.Ginn,WR,CAR,3.5,PHI
2009,1,00-0024268,A.Fasano,TE,TEN,-3.0,PIT
2009,1,00-0027077,B.Hartline,WR,CLE,1.3,MIN
2009,1,00-0026158,J.Flacco,QB,BAL,26.08,KC
2009,1,00-0026213,J.Charles,RB,KC,3.7,BAL
2009,1,00-0025410,D.Bowe,WR,CLE,10.0,MIN
2009,1,00-0021206,J.McCown,QB,CLE,0.08,MIN
2009,1,00-0025708,M.Moore,QB,MIA,2.52,ATL
2009,1,00-0026153,J.Stewart,RB,CAR,6.7,PHI
2009,1,00-0020337,S.Smith,WR,BAL,2.5,KC
2009,1,00-0024242,D.Williams,RB,PIT,13.9,TEN
2009,1,00-0026189,D.Jackson,WR,WAS,10.2,NYG
2009,1,00-0027029,L.McCoy,RB,BUF,4.7,NE
2009,1,00-0025549,B.Celek,TE,PHI,9.7,CAR
2009,1,00-0024324,J.Avant,WR,KC,1.8,BAL
2009,1,00-0021429,C.Palmer,QB,ARI,10.08,SF
2009,1,00-0026237,A.Caldwell,WR,DEN,5.4,CIN
2009,1,00-0026182,E.Royal,WR,CHI,1.8,GB
2009,1,00-0024334,B.Marshall,WR,NYJ,2.7,HOU
2009,1,00-0024279,T.Jackson,QB,SEA,-0.1,STL
2009,1,00-0026998,P.Harvin,WR,BUF,11.8,NE
2009,1,00-0025394,A.Peterson,RB,MIN,37.8,CLE
2009,1,00-0022787,M.Schaub,QB,BAL,7.24,KC
2009,1,00-0024313,O.Daniels,TE,DEN,4.4,CIN
2009,1,00-0022044,A.Johnson,WR,IND,3.5,JAC
2009,1,00-0025460,J.Jones,WR,SD,0.0,OAK
2009,1,00-0026898,M.Sanchez,QB,PHI,15.48,CAR
2009,1,00-0022811,J.Cotchery,WR,CAR,9.0,PHI
2009,1,00-0010346,P.Manning,QB,DEN,15.64,CIN
2009,1,00-0027003,D.Brown,RB,SD,4.9,OAK
2009,1,00-0026267,J.Tamme,TE,ATL,0.6,MIA
2009,1,00-0026345,P.Garcon,WR,WAS,2.4,NYG
2009,1,00-0024243,M.Lewis,TE,JAC,2.3,IND
2009,1,00-0020531,D.Brees,QB,NO,38.32,DET
2009,1,00-0024217,R.Bush,RB,SF,4.9,ARI
2009,1,00-0023310,L.Moore,WR,DET,3.8,NO
2009,1,00-0024466,M.Colston,WR,NO,9.0,DET
2009,1,00-0026498,M.Stafford,QB,DET,14.2,NO
2009,1,00-0025389,C.Johnson,WR,DET,9.0,NO
2009,1,00-0021678,T.Romo,QB,DAL,26.32,TB
2009,1,00-0026201,M.Bennett,TE,CHI,1.3,GB
2009,1,00-0023921,M.Austin,WR,PHI,10.2,CAR
2009,1,00-0022127,J.Witten,TE,DAL,7.1,TB
2009,1,00-0027139,J.Phillips,TE,SD,0.0,OAK
2009,1,00-0022084,A.Boldin,WR,SF,1.9,ARI
2009,1,00-0022921,L.Fitzgerald,WR,ARI,13.1,SF
2009,1,00-0020679,S.Hill,QB,MIN,10.36,CLE
2009,1,00-0023500,F.Gore,RB,IND,16.8,JAC
2009,1,00-0024389,D.Walker,TE,TEN,1.7,PIT
2009,1,00-0024221,V.Davis,TE,SF,4.0,ARI
2009,1,00-0022803,E.Manning,QB,NYG,11.94,WAS
2009,1,00-0025637,A.Bradshaw,RB,IND,7.1,JAC
2009,1,00-0007091,M.Hasselbeck,QB,IND,23.46,JAC
2009,1,00-0026373,J.Forsett,RB,BAL,1.7,KC
2009,1,00-0023752,D.Fells,TE,NYG,0.9,WAS
2009,1,00-0023459,A.Rodgers,QB,GB,12.06,CHI
2009,1,00-0024267,G.Jennings,WR,MIA,16.6,ATL
2009,1,00-0026176,J.Nelson,WR,GB,0.0,CHI
2009,1,00-0024226,J.Cutler,QB,CHI,16.68,GB
2009,1,00-0026184,M.Forte,RB,CHI,5.5,GB
2009,1,00-0025418,G.Olsen,TE,CAR,0.8,PHI
2009,1,00-0024272,D.Hester,WR,ATL,15.0,MIA
2009,1,00-0019596,T.Brady,QB,NE,24.02,BUF
2009,1,00-0022943,B.Watson,TE,NO,19.7,DET
2009,1,00-0024204,F.Jackson,RB,SEA,20.0,STL
2009,1,00-0024408,B.Gradkowski,QB,PIT,0.68,TEN
2009,1,00-0026144,D.McFadden,RB,DAL,7.3,TB
2009,1,00-0027089,L.Murphy,WR,TB,14.7,DAL
2009,1,00-0022942,P.Rivers,QB,SD,13.98,OAK
2009,1,00-0023564,D.Sproles,RB,PHI,12.6,CAR
2009,1,00-0022414,M.Floyd,WR,SD,1.7,OAK
2009,1,00-0021547,A.Gates,TE,SD,8.3,OAK
2009,1,00-0023496,V.Jackson,WR,TB,11.6,DAL
2009,2,00-0026143,M.Ryan,QB,ATL,21.1,CAR
2009,2,00-0023462,R.White,WR,ATL,11.3,CAR
2009,2,00-0024535,E.Weems,WR,ATL,0.0,CAR
2009,2,00-0026153,J.Stewart,RB,CAR,7.9,ATL
2009,2,00-0024242,D.Williams,RB,PIT,15.1,CHI
2009,2,00-0020337,S.Smith,WR,BAL,13.1,SD
2009,2,00-0026498,M.Stafford,QB,DET,10.78,MIN
2009,2,00-0025389,C.Johnson,WR,DET,12.7,MIN
2009,2,00-0026996,B.Pettigrew,TE,DET,4.0,MIN
2009,2,00-0024279,T.Jackson,QB,SEA,0.26,SF
2009,2,00-0025394,A.Peterson,RB,MIN,15.6,DET
2009,2,00-0026998,P.Harvin,WR,BUF,11.5,TB
2009,2,00-0023459,A.Rodgers,QB,GB,18.74,CIN
2009,2,00-0025465,J.Jones,WR,GB,2.4,CIN
2009,2,00-0026176,J.Nelson,WR,GB,1.1,CIN
2009,2,00-0021429,C.Palmer,QB,ARI,25.5,JAC
2009,2,00-0026237,A.Caldwell,WR,DEN,1.6,CLE
2009,2,00-0027155,R.Jennings,RB,NYG,0.1,DAL
2009,2,00-0024243,M.Lewis,TE,JAC,12.2,ARI
2009,2,00-0022084,A.Boldin,WR,SF,7.3,SEA
2009,2,00-0022921,L.Fitzgerald,WR,ARI,9.4,JAC
2009,2,00-0023662,M.Cassel,QB,DAL,17.04,NYG
2009,2,00-0025410,D.Bowe,WR,CLE,11.6,DEN
2009,2,00-0026144,D.McFadden,RB,DAL,11.5,NYG
2009,2,00-0026983,D.Heyward-Bey,WR,PIT,1.8,CHI
2009,2,00-0027089,L.Murphy,WR,TB,2.6,BUF
2009,2,00-0026898,M.Sanchez,QB,PHI,10.32,NO
2009,2,00-0022811,J.Cotchery,WR,CAR,8.7,ATL
2009,2,00-0019596,T.Brady,QB,NE,8.84,NYJ
2009,2,00-0022943,B.Watson,TE,NO,2.3,PHI
2009,2,00-0027150,J.Edelman,WR,NE,9.8,NYJ
2009,2,00-0026189,D.Jackson,WR,WAS,17.6,STL
2009,2,00-0027029,L.McCoy,RB,BUF,5.5,TB
2009,2,00-0025549,B.Celek,TE,PHI,10.4,NO
2009,2,00-0026995,J.Maclin,WR,KC,1.2,OAK
2009,2,00-0024324,J.Avant,WR,KC,13.9,OAK
2009,2,00-0020531,D.Brees,QB,NO,24.34,PHI
2009,2,00-0024217,R.Bush,RB,SF,13.5,SEA
2009,2,00-0024466,M.Colston,WR,NO,21.8,PHI
2009,2,00-0023367,N.Washington,WR,HOU,11.0,TEN
2009,2,00-0026164,C.Johnson,RB,ARI,46.4,JAC
2009,2,00-0027006,K.Britt,WR,STL,2.2,WAS
2009,2,00-0026225,C.Stevens,TE,TEN,0.0,HOU
2009,2,00-0022787,M.Schaub,QB,BAL,30.68,SD
2009,2,00-0025460,J.Jones,WR,SD,13.3,BAL
2009,2,00-0024313,O.Daniels,TE,DEN,13.2,CLE
2009,2,00-0022044,A.Johnson,WR,IND,26.9,MIA
2009,2,00-0024204,F.Jackson,RB,SEA,16.8,SF
2009,2,00-0020679,S.Hill,QB,MIN,7.46,DET
2009,2,00-0023500,F.Gore,RB,IND,36.6,MIA
2009,2,00-0024221,V.Davis,TE,SF,3.2,SEA
2009,2,00-0007091,M.Hasselbeck,QB,IND,5.08,MIA
2009,2,00-0026373,J.Forsett,RB,BAL,9.2,SD
2009,2,00-0024226,J.Cutler,QB,CHI,17.24,PIT
2009,2,00-0026184,M.Forte,RB,CHI,6.2,PIT
2009,2,00-0025418,G.Olsen,TE,CAR,4.1,ATL
2009,2,00-0024272,D.Hester,WR,ATL,2.1,CAR
2009,2,00-0026298,K.Davis,TE,NYJ,9.8,NE
2009,2,00-0022924,B.Roethlisberger,QB,PIT,19.44,CHI
2009,2,00-0025464,M.Spaeth,TE,PIT,7.0,CHI
2009,2,00-0026901,M.Wallace,WR,MIN,1.3,DET
2009,2,00-0023465,H.Miller,TE,PIT,2.7,CHI
2009,2,00-0024334,B.Marshall,WR,NYJ,4.8,NE
2009,2,00-0026182,E.Royal,WR,CHI,2.0,PIT
2009,2,00-0022942,P.Rivers,QB,SD,26.44,BAL
2009,2,00-0023564,D.Sproles,RB,PHI,21.0,NO
2009,2,00-0022414,M.Floyd,WR,SD,4.5,BAL
2009,2,00-0021547,A.Gates,TE,SD,7.8,BAL
2009,2,00-0023496,V.Jackson,WR,TB,20.1,BUF
2009,2,00-0026158,J.Flacco,QB,BAL,15.9,SD
2009,2,00-0021678,T.Romo,QB,DAL,15.38,NYG
2009,2,00-0026201,M.Bennett,TE,CHI,1.1,PIT
2009,2,00-0023921,M.Austin,WR,PHI,2.0,NO
2009,2,00-0022127,J.Witten,TE,DAL,9.3,NYG
2009,2,00-0022803,E.Manning,QB,NYG,21.4,DAL
2009,2,00-0025637,A.Bradshaw,RB,IND,4.5,MIA
2009,2,00-0024268,A.Fasano,TE,TEN,0.1,HOU
2009,2,00-0027077,B.Hartline,WR,CLE,2.3,DEN
2009,2,00-0025396,T.Ginn,WR,CAR,10.8,ATL
2009,2,00-0010346,P.Manning,QB,DEN,20.42,CLE
2009,2,00-0027003,D.Brown,RB,SD,11.0,BAL
2009,2,00-0026345,P.Garcon,WR,WAS,10.8,STL
2009,3,00-0026158,J.Flacco,QB,BAL,18.18,CLE
2009,3,00-0023645,D.Anderson,QB,CAR,3.68,DAL
2009,3,00-0021429,C.Palmer,QB,ARI,11.42,IND
2009,3,00-0026237,A.Caldwell,WR,DEN,11.2,OAK
2009,3,00-0022924,B.Roethlisberger,QB,PIT,21.34,CIN
2009,3,00-0025464,M.Spaeth,TE,PIT,0.7,CIN
2009,3,00-0026901,M.Wallace,WR,MIN,10.2,SF
2009,3,00-0023465,H.Miller,TE,PIT,2.0,CIN
2009,3,00-0026498,M.Stafford,QB,DET,15.94,WAS
2009,3,00-0025389,C.Johnson,WR,DET,5.8,WAS
2009,3,00-0026996,B.Pettigrew,TE,DET,2.7,WAS
2009,3,00-0022787,M.Schaub,QB,BAL,24.5,CLE
2009,3,00-0024313,O.Daniels,TE,DEN,9.8,OAK
2009,3,00-0022044,A.Johnson,WR,IND,8.6,ARI
2009,3,00-0025460,J.Jones,WR,SD,8.3,MIA
2009,3,00-0027155,R.Jennings,RB,NYG,0.9,TB
2009,3,00-0024243,M.Lewis,TE,JAC,1.8,HOU
